Age,Salary
59,7313
37,8477
33,3119
35,2459
22,15696
40,14804
20,17681
36,8083
40,16648
56,7232
55,8701
24,9827
58,12703
49,5287
43,11630
53,6496
46,5505
45,6201
22,13848
52,13902
58,9381
25,3521
45,12139
47,8542
38,5737
51,13841
53,9897
55,10455
36,4144
53,9673
30,15102
57,15597
38,6033
54,10935
29,15992
50,10425
22,16074
31,5847
40,16948
35,15436
36,12148
32,17729
42,12534
59,3473
35,16506
39,3133
43,6206
24,8675
50,14833
58,8913
44,8376
48,8048
53,12257
22,13409
26,15252
38,13674
25,8213
21,10844
40,15174
55,13606
25,15510
22,5788
52,8868
30,4175
33,11271
42,2094
45,13268
39,2859
23,7677
38,17212
60,14024
33,5428
58,17819
56,5909
45,15902
20,5212
51,6734
60,15175
58,17162
59,7818
