Day,MinTemp,MaxTemp,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
1,8,24.3,68,29,1019.7,1015,14.4,23.6
2,14,26.9,80,36,1012.4,1008.4,17.5,25.7
3,13.7,23.4,82,69,1009.5,1007.2,15.4,20.2
4,13.3,15.5,62,56,1005.5,1007,13.5,14.1
5,7.6,16.1,68,49,1018.3,1018.5,11.1,15.4
6,6.2,16.9,70,57,1023.8,1021.7,10.9,14.8
7,6.1,18.2,63,47,1024.6,1022.2,12.4,17.3
8,8.3,17,65,57,1026.2,1024.2,12.1,15.5
9,8.8,19.5,70,48,1026.1,1022.7,14.1,18.9
10,8.4,22.8,82,32,1024.1,1020.7,13.3,21.7
11,9.1,25.2,74,34,1024.4,1021.1,14.6,24
12,8.5,27.3,54,35,1023.8,1019.9,16.8,26
13,10.1,27.9,62,29,1022,1017.1,17,27.1
14,12.1,30.9,67,20,1017.3,1013.1,19.7,30.7
15,10.1,31.2,45,16,1018.2,1013.7,18.7,30.4
16,12.4,32.1,70,22,1017.9,1012.8,19.1,30.7
17,13.8,31.2,72,23,1014.4,1009.8,20.2,29.8
18,11.7,30,59,26,1016.4,1013,20.1,28.6
19,12.4,32.3,60,25,1017.1,1013.3,20.2,31.2
20,15.6,33.4,61,27,1018.5,1013.7,22.8,32
21,15.3,33.4,60,26,1012.4,1006.5,22.2,32.8
22,16.4,19.4,88,72,1010.7,1008.9,16.5,18.3
23,12.8,18.5,91,79,1014,1014.9,14,16.8
24,12,24.3,74,57,1020.7,1019.2,17.8,22.8
25,15.4,28.4,85,31,1022.4,1018.6,16.8,27.3
26,15.6,26.9,65,48,1019.7,1016.5,19.8,25.1
27,13.3,22.2,70,55,1021,1018.6,16.5,21.2
28,12.9,28,61,31,1019.2,1014.8,18.8,26.7
29,15.1,24.3,69,80,1019,1017.1,18.9,19.7
30,13.6,24.1,83,49,1017.2,1013.3,17.3,23.2
31,15.1,20.4,82,90,1015,1014.1,17,16.3
32,11.6,26.3,66,46,1013.9,1009.5,16.7,25.2
33,16.6,24.2,72,60,1007.9,1004.6,20.5,19.9
34,13.3,26.5,74,40,1007.3,1006.3,18.8,25.1
35,14.5,21.8,69,63,1015,1015.3,18.6,20.5
36,16.3,26.8,78,54,1018.8,1016.1,18.6,24.5
37,17.2,25.8,70,74,1014.5,1011.5,21.5,22.6
38,16.5,28.2,76,42,1014.8,1011.4,18,26.3
39,15,29.4,78,24,1010.8,1008.5,20.6,28.6
40,14.9,24.8,58,37,1011.7,1010.4,19.3,22.9
41,11.8,18.5,60,63,1018,1017.4,13.8,16.4
42,11.7,21.5,66,51,1021.1,1019.6,15.7,19.4
43,9.6,20.3,70,49,1021.9,1019.3,15.8,19.2
44,8.9,27.1,63,37,1018.1,1012.5,15.8,25
45,10.1,29.9,63,36,1012.6,1010.2,17.4,29.1
46,15.5,21.1,93,86,1010.1,1008.6,16.6,20
47,10.8,21.7,59,40,1017.6,1016.8,15.3,20.8
48,7.5,20.9,61,43,1020.6,1018.3,15.3,19.8
49,12.8,21,72,54,1018,1015.6,16.1,20
50,12.6,23.1,97,74,1015.8,1014.1,15.3,20.4
51,14.8,29.5,81,48,1012.9,1008.3,21,28.2
52,19.9,22,92,62,996.5,996.8,20.6,19.6
53,9.2,20.4,59,49,1009.5,1009.1,14.9,18.8
54,12.4,24.4,69,43,1012.8,1009.7,15,22.5
55,11.3,21.7,67,52,1020.4,1019.1,12.4,21
56,9.8,26.3,63,35,1023.2,1018,15.3,23.9
57,14.3,26.7,68,64,1017.3,1014.3,19.8,19
58,15.1,28.3,73,44,1016.8,1013.4,18.3,27.4
59,14.4,31.6,65,30,1017.1,1014.2,21.5,30.3
